,Titre,Auteur,Summary
389,La danse de l'araignée ,Laura Alcoba,"'Bavarder entre la banlieue parisienne et la prison argentine où se trouve mon père, c’est un peu comme du tir à l’arc – avec de l’exercice et un peu d’application, on arrive à atteindre le point de mire, l’endroit précis du calendrier où nous nous sommes donné rendez-vous. Il faut juste me laisser le temps de glisser ma nouvelle petite clé dans la boîte aux lettres métallique, attendre que je déchire l’enveloppe. Voilà, j’y suis.' On retrouve dans La danse de l’araignée la tonalité légère et acidulée qui faisait tout le charme de Manèges – la jeune narratrice racontait alors son enfance en Argentine au temps de la dictature – comme du Bleu des abeilles, qui retraçait son arrivée en banlieue parisienne et l’apprentissage émerveillé de la langue française. Ici, c’est le temps de l’adolescence qui est évoqué. Ses bouleversements troublants et la correspondance régulière avec le père emprisonné tissent une toile subtile où présent, passé et imaginaire prennent tour à tour le dessus."
390,La vérité sur l'affaire Harry Quebert ,Joël Dicker,"A New York, au printemps 2008, alors que l’Amérique bruisse des prémices de l’élection présidentielle, Marcus Goldman, jeune écrivain à succès, est dans la tourmente: il est incapable d’écrire le nouveau roman qu’il doit remettre à son éditeur d’ici quelques mois. Le délai est près d’expirer quand soudain tout bascule pour lui: son ami et ancien professeur d’université, Harry Quebert, l’un des écrivains les plus respectés du pays, est rattrapé par son passé et se retrouve accusé d’avoir assassiné, en 1975, Nola Kellergan, une jeune fille de 15 ans, avec qui il aurait eu une liaison. Convaincu de l’innocence de Harry, Marcus abandonne tout pour se rendre dans le New Hampshire et mener son enquête. Il est rapidement dépassé par les événements: l’enquête s’enfonce et il fait l’objet de menaces. Pour innocenter Harry et sauver sa carrière d’écrivain, il doit absolument répondre à trois questions: Qui a tué Nola Kellergan? Que s’est-il passé dans le New Hampshire à l’été 1975? Et comment écrit-on un roman à succès? Sous ses airs de thriller à l’américaine, La Vérité sur l’Affaire Harry Quebert est une réflexion sur l’Amérique, sur les travers de la société moderne, sur la littérature, sur la justice et sur les médias. Joël Dicker est né à Genève en 1985. La Vérité sur l’Affaire Harry Quebert est son deuxième roman. Il a obtenu successivement en 2012 le Prix de la Vocation Bleustein-Blanchet, le Grand Prix du Roman de l’Académie française et le 25e Prix Goncourt des Lycéens."
391,L'herbe des nuits ,Patrick Modiano,'Qu'est-ce que tu dirais si j'avais tué quelqu'un? J'ai cru qu'elle plaisantait ou qu'elle m'avait posé cette question à cause des romans policiers qu'elle avait l'habitude de lire. C'était d'ailleurs sa seule lecture. Peut-être que dans l'un de ces romans une femme posait la même question à son fiancé. Ce que je dirais? Rien.'
392,Un lieu incertain ,Fred Vargas,""" — Et qu’est-ce qu’ils vont en faire ? demandait Estalère. Trouver vingt personnes sans pieds pour les recoller avec ? Et après ? — Mais il semble qu’il n’y en ait pas plus de dix-huit. Ce qui nous ferait neuf personnes. — D’accord. Mais si les Anglais avaient un problème avec neuf personnes sans pieds, ils seraient déjà au courant, non ? — S’il s’agit de personnes, dit Adamsberg. Mais s’il s’agit de corps, pas forcément. Estalère secoua la tête. — Si les pieds ont été coupés sur des morts, précisa Adamsberg. Cela nous donne neuf cadavres. Les Anglais ont quelque part neuf cadavres sans pieds, et ils ne le savent pas."""
393,Une illusion d'optique ,Louise Penny,"Depuis qu'elle est enfant, Clara Morrow n'a jamais eu qu'un seul rêve : voir un jour ses tableaux exposés au Musée d'art contemporain de Montréal. Mais elle a bientôt soixante ans, et après des années d'échecs, elle n'y croit plus vraiment. Quand la consécration tant attendue finit par arriver, la joie est de courte durée : le lendemain du vernissage et de la soirée donnée chez elle, une femme est retrouvée, la nuque brisée, dans le jardin. La victime est une ancienne critique, jadis célèbre pour ses papiers assassins. Alors que les acteurs du monde de l'art étaient réunis à Three Pines, bizarrement, personne ne semble la connaître... Dépêchés sur place, l'inspecteur-chef Gamache et son adjoint Beauvoir mènent l'enquête. Tandis que le tableau du crime prend forme, les deux agents découvrent que dans cette affaire comme dans les portraits peints par Clara, les apparences sont parfois trompeuses."
394,Quinquennat ,Marc Dugain, 
395,La vie en mieux ,Anna Gavalda, 
396,La daronne ,Hannelore Cayre, 
397,Histoire du lion Personne ,Stéphane Audeguy,"Il est absolument impossible de raconter l'histoire d'un lion, parce qu'il y a une indignité à parler à la place de quiconque, surtout s'il s'agit d'un animal. Il est absolument impossible de raconter l'histoire du lion Personne, qui vécut entre 1786 et 1796 d'abord au Sénégal, puis en France. Cependant, rien ne nous empêche d'essayer. Né en 1964, Stéphane Audeguy a publié en 2005 un premier roman, La Théorie des nuages (traduit dans plus de vingt langues), qui a été suivi de trois autres : Fils unique (2008) ; Nous autres (2009) et Rom@ (2011). Il enseigne l'histoire du cinéma et des arts dans les Hauts-de-Seine."
398,Le royaume ,Emmanuel Carrère,"« A un moment de ma vie, j'ai été chrétien. Cela a duré trois ans. C'est passé. Affaire classée, alors ? Il faut qu'elle ne le soit pas tout à fait pour que, vingt ans plus tard, j'aie éprouvé le besoin d'y revenir. Ces chemins du Nouveau Testament que j'ai autrefois parcourus en croyant, je les parcours aujourd'hui - en romancier ? en historien ? Disons en enquêteur. » (4e de couv.)"
399,Le problème à trois corps ,Ci xin Liu, 
400,En vrille ,Deon Meyer,""" Avec Deon Meyer, on ne peut pas se tromper. "" Michael Connelly Traumatisé par le suicide d'un collègue, Benny Griessel replonge dans l'alcool. Sa supérieure hiérarchique le protège en confiant à son adjoint Cupido l'enquête sur le meurtre d'Ernst Richter, créateur d'un site qui fournit en toute discrétion de faux alibis aux conjoints adultères. Richter faisait chanter ses clients. Est-ce là une piste ? L'analyse des relevés d'appels de son portable, l'épluchage des comptes de sa start-up, les interrogatoires de ses employés, les perquisitions ne donnent rien. Les soupçons se portent aussi sur François du Toit, un viticulteur en faillite. Rien de probant. Les Hawks sont dans l'impasse. La solution surgira, contre toute attente, de l'esprit embrumé d'un Griessel au bout du rouleau. Chaque roman de Deon Meyer aborde un sujet différent : ici, les vignobles du Cap et une technologie de pointe au service de l'enquête. Mais le facteur humain demeure déterminant et ses personnages sont plus poignants que jamais. Né en 1958 à Pearl, Afrique du Sud, Deon Meyer est aujourd'hui l'auteur unanimement reconnu de dix best-sellers traduits dans vingt-cinq pays. Il a entraîné l'équipe de rugby de sa fac avant de devenir journaliste, rédacteur publicitaire, stratège en positionnement Internet et, plus récemment, réalisateur de films. Il vit à Stellenbosch, près du Cap. Traduit de l'afrikaans par Georges Lory"
401,Mortel sabbat ,Douglas Preston, 
402,Trois jours chez ma tante ,Yves Ravey,"Après vingt ans d’absence, Marcello Martini est convoqué par sa tante, une vieille dame fortunée qui finit ses jours dans une maison de retraite médicalisée, en ayant gardé toute sa tête. Elle lui fait savoir qu’elle met fin à son virement mensuel et envisage de le déshériter. Une discussion s’engage entre eux et ça démarre très fort. « Comme dans un roman policier, on reste suspendu à l’action, dans l’attente de son dénouement. C’est bien le destin des protagonistes qui est en jeu, leur avenir, leur vie et leur mort. Simplement, cette action, si minutieusement décrite fût-elle, sans échappée ni digression, donne au lecteur un sentiment de forte (mais indéterminée) inquiétude. Chef d’orchestre, Yves Ravey ne cherche à imposer aucun point de vue – même si un lointain arrière-fond de préoccupations politiques et sociales, morales aussi, est présent. Finalement, le charme très singulier de son art est concentré dans la diffusion et l’organisation de cette inquiétude. » (Patrick Kéchichian, La Croix) « À mesure que l’on accorde de moins en moins de crédit à ce que raconte Marcello Martini, on s’accroche, car Yves Ravey, lui, on le croit sur parole. Il donne des détails pour que l’effet de réel soit atteint au plus vite, les petits gestes de la vie quotidienne, justes, vécus, indéniables, comme on le dit de l’oreille, il a l’œil absolu. Pas de fioritures, il écrit simple, court, nerveux, sec, sévère, modeste, il écrit au bistouri, tranche là où ça fait mal. Il donne l’impression de sauter des phrases, pour gagner du temps, mais aucune ne manque, pour couper le souffle du lecteur, il pousse le texte vers son destin, vers sa chute, vers sa fin. Ce n’est pas un thriller, un page-turner, comme ils disent, en français, non, il n’y a pas d’autre suspense que la sensation fébrile de lire avec un colt sur la tempe. Allez jusqu’au bout, vous verrez bien comment on peut jouer à la roulette russe avec une cartouche d’encre violette. » (Jean-Baptiste Harang, Le Magazine littéraire) Ce roman a paru en 2017."
403,Mör ,Johana Gustawsson, 
404,Troupe 52 ,Nick Cutter,"Une fois par an, le chef scout Tim Riggs emmène un groupe d’adolescents sur Falstaff Island, en pleine nature canadienne, pour trois jours de camping. Et rien de tel qu’une bonne histoire de fantômes et le crépitement d’un feu de joie pour faire le bonheur de la joyeuse troupe. Mais lorsqu’un individu émacié, qui semble tout droit sorti d’un film d’horreur, débarque sur leur camp, réclamant de la nourriture, le séjour vire au cauchemar. L’homme n’a pas seulement faim. Il est malade. Un malade comme ils n’en ont jamais vu... et dangereux avec ça. Coupée du reste du monde, la troupe va devoir affronter une situation bien plus terrible que toutes les histoires inventées autour du feu. Pour survivre, ils devront combattre leurs peurs, les éléments, et se confronter à leur pire ennemi, eux-mêmes. À mi-chemin entre Sa Majesté des mouches et 28 jours plus tard, ce thriller qui a fait pâlir d’angoisse Stephen King en personne vous plongera au cœur des ténèbres, à la frontière de la folie."
405,Nos adorables belles filles ,Aurélie Valognes, 
406,Soyez imprudents les enfants ,Véronique Ovaldé,"« Soyez imprudents les enfants », c’est le curieux conseil qu’on a donné à tous les Bartolome lorsqu’ils n’étaient encore que de jeunes rêveurs – et qui explique peut-être qu’ils se soient aventurés à changer le monde. « Soyez imprudents les enfants », c’est ce qu’aimerait entendre Atanasia, la dernière des Bartolome, qui du haut de ses 13 ans espère ardemment qu’un événement vienne bousculer sa trop tranquille adolescence. Ce sera la peinture de Roberto Diaz Uribe, découverte un matin de juin au musée de Bilbao. Que veut lui dire ce peintre, qui a disparu un beau jour et que l’on dit retiré sur une île inconnue ? Atanasia va partir à sa recherche, abandonner son pays basque natal et se frotter au monde. Quitte à s’inventer en chemin.Dans ce singulier roman de formation, Véronique Ovaldé est comme l’Espagne qui lui sert de décor : inspirée, affranchie et désireuse de mettre le monde en mouvement."
407,Le ballon et autre histoires du petit Nicolas ,René Goscinny,Voici dix histoires qui n'avaient jamais été publiées. Pour la première fois c'est en couleur que le Petit Nicolas et ses copains nous font rire. Plus de soixante-dix aquarelles de Sempé viennent illustrer les textes inédits de Goscinny. Peut-on rêver plus jolie surprise pour fêter le cinquantième anniversaire de la création du Petit Nicolas ?
